,region,animal,neuron,mean_spikes,std_spikes,frac_3,mean,std,mean_T,std_T,mean_F,std_F,mean_NP,std_NP,mean_W,std_W,spont_mean,spont_std,R_st,R_st_T,R_st_F,R_ch,R,z_score,tone_sig,z_score_T,z_score_F,z_score_diff,receptive_field,BF,target_tone,BW,ramp_r,ramp_index,ramp_sig
80,AC,AC_04282015,0,5.824034334763948,5.824034334763948,0.6437768240343348,4.870612720411689,4.195842461108301,4.807310228811825,7.608000932713952,5.685782570033656,6.20011464652496,4.800642660436168,5.718404859432504,5.572646454302226,6.691454001017072,5.364806866952789,8.336792493691522,-0.20028612303290416,0.2586206896551724,-0.3418803418803419,-0.8798283261802575,0.9023371956362574,-0.05388762181829622,0.5126680535354491,-0.06346808159753774,-0.04492145611766099,-0.018546625479876747,"[(32.0, -2.0, 0.7681145747868608), (1.0, -2.222222222222222, 0.6928995160692484), (2.0, 0.0, 0.8366600265340756), (0.5, 8.888888888888888, 0.7407407407407408), (4.0, -0.689655172413793, 0.322238724748566), (8.0, -0.6666666666666666, 0.5367943257413851), (16.0, 1.0, 0.5894913061275798)]",0.5,4,1.0,0.05468851606190663,-7.030303030303031,0.5155109150862647
81,AC,AC_04282015,1,6.223175965665236,6.223175965665236,0.7339055793991416,5.093247595475945,4.041763715361723,4.9725403450545365,6.315200988352603,6.040884716786296,6.000547725057696,5.070712315549336,5.355253374373025,5.887800138597161,6.1917937665300915,4.8927038626609445,7.921914407658022,0.4291845493562232,1.1206896551724137,-0.6837606837606838,-0.5150214592274678,0.6704076975027171,0.11340851656121298,0.17583422191092513,0.21668275963743677,0.016932136536964938,0.19975062310047184,"[(32.0, -4.0, 0.7483314773547881), (1.0, -5.555555555555555, 0.5885277252618779), (2.0, 5.0, 0.6224949798994366), (0.5, 6.666666666666666, 0.9938079899999065), (4.0, 2.068965517241379, 0.26920474741541534), (8.0, -4.0, 0.48989794855663554), (16.0, -1.0, 0.8645808232895291)]",0.5,4,1.0,0.07275714524192345,-11.030303030303033,0.4510424255657872
82,AC,AC_01052016,1,5.266666666666667,5.266666666666667,0.8,4.925281976623239,2.9589503624295133,6.995387949527756,9.6129421358272,5.904559687926702,7.826746311442919,6.442750612788547,8.292585801327125,5.477253526015553,4.418874042493507,6.5,10.054020754570448,-2.055555555555556,-3.8,-2.8571428571428568,0.6666666666666666,2.1609611487529694,-0.317063243737114,0.006545089239163748,-0.48,-0.2007387671367416,-0.2792612328632584,"[(0.5, -1.6666666666666665, 1.1128458680005628), (32.0, -10.0, 1.118033988749895), (1.0, 5.7142857142857135, 0.7040076861494017), (2.0, 0.0, 0.0), (4.0, -4.8, 0.3700810721990521), (8.0, 0.0, 0.7440653318043245), (16.0, -8.333333333333334, 0.6364688465216445)]",1.0,4,3.0,0.10600803314196793,14.34343434343434,0.3585951679274679
83,AC,AC_01062016,0,1.4750830564784052,1.4750830564784052,0.18604651162790697,1.3958688175188763,1.408012804029936,1.8939738952026641,2.8497419455451967,1.536558475159431,1.9598383954791687,1.878045080862959,2.517811237366838,1.4624566341192229,1.570998839435644,1.0963455149501662,3.4285327974336037,0.33222591362126247,0.6201550387596899,0.46511627906976744,0.2823920265780731,0.4360267358274647,0.27010881366718725,0.005811304886182054,0.41147559989891175,0.2289679959169973,0.18250760398191446,"[(32.0, -1.4814814814814814, 0.2254002294259943), (0.5, 1.25, 0.27510651346342196), (1.0, 2.2857142857142856, 0.3008249105745025), (2.0, 3.7037037037037033, 0.4706494964772279), (4.0, 1.2403100775193798, 0.11758377062838261), (8.0, 0.9090909090909091, 0.608294780056534), (16.0, -0.689655172413793, 0.1515294394489797)]",2.0,4,4.0,0.06987571185102051,3.4273772204806687,0.4604953275761492
84,AC,AC_01072016,0,0.73125,0.73125,0.065625,0.8354779946816375,1.2507484619060802,0.9390058214109359,1.5186680335760174,1.1102020321478374,2.0141324426603116,1.0196030116909611,1.8119962798481717,1.1212463949424316,1.8470515207994813,1.0625,3.3721052400540525,0.020833333333333336,0.12269938650306748,-0.12738853503184713,-0.234375,0.2352991041265941,-0.09435367655300861,0.16151331846754213,-0.060522753266880246,-0.12324096461179099,0.06271821134491073,"[(32.0, 0.0, 0.22587697572631282), (1.0, -1.0526315789473684, 0.22909776319263525), (2.0, 0.8695652173913043, 0.19016674994267363), (0.5, 0.6060606060606061, 0.2335377683601371), (4.0, -0.24539877300613497, 0.08665504694115866), (8.0, 0.0, 0.2795084971874737), (16.0, -3.6363636363636362, 0.46677756186588215)]",2.0,4,5.0,0.7723341196395085,-12.45179063360881,0.0008128926196289129
85,AC,AC_01072016,1,6.2,6.2,0.853125,7.590111558334719,4.049992263273761,9.664451576527904,8.893471194110809,8.105263782538337,5.517762421274735,9.261597625813579,7.923175260535324,8.16293303987043,5.554451854793194,6.6875,8.889732490350877,0.6041666666666666,0.5521472392638036,0.9554140127388535,1.390625,1.5161976295114403,0.12429735250022433,0.12086295982040975,0.2069042400447486,0.055480263078266714,0.1514239769664819,"[(32.0, 0.7142857142857142, 0.575083971558957), (1.0, 2.1052631578947367, 0.9352877017248825), (2.0, -0.8695652173913043, 0.5128415866257292), (0.5, -0.6060606060606061, 0.6771855678401875), (4.0, 1.9631901840490797, 0.26942148989446374), (8.0, 1.875, 0.5361674980241715), (16.0, 0.0, 0.9958591954639383)]",1.0,4,1.0,0.1801759530791788,21.157024793388423,0.2214577562713898
86,AC,AC_01072016,3,1.9625,1.9625,0.309375,2.3684773852103334,2.226675182455976,2.6103302166591296,2.876580730420269,3.06066388960372,3.295964356654267,2.7250005219355637,3.432911685388711,2.843737148926526,3.0652187385972502,2.5625,5.617703601116741,-0.43750000000000006,-0.7361963190184049,-0.6369426751592356,0.0,0.43750000000000006,-0.08178334682770026,0.2510428743587527,-0.10219250343291213,-0.056533377108330674,-0.04565912632458145,"[(32.0, 2.8571428571428568, 0.4353210001571744), (1.0, -2.1052631578947367, 0.566344828262074), (2.0, -1.7391304347826086, 0.668663621003679), (0.5, -0.6060606060606061, 0.35777336526681647), (4.0, -0.8588957055214724, 0.1914648864474749), (8.0, -0.625, 0.24079742199097562), (16.0, -0.9090909090909091, 0.45247462165924845)]",32.0,4,1.0,0.11022856551866812,-8.044077134986233,0.348634450874747
87,AC,AC_01082016,0,1.5073891625615763,1.5073891625615763,0.22660098522167488,1.9277935248357205,2.0853627449658796,1.9391331489750843,2.735100703094353,2.7394707715465922,3.469236703823837,1.9241768927330998,2.4777016025352716,2.593247799588373,3.0133335028356916,1.9458128078817734,5.14872596077382,0.1477832512315271,0.0,0.34146341463414637,-0.17241379310344826,0.2270823757953913,0.08980013648383896,0.29083045974756605,0.0,0.1770073238295383,-0.1770073238295383,"[(32.0, 1.111111111111111, 0.24497697324672132), (0.5, 0.5128205128205128, 0.3435200651574788), (2.0, 0.689655172413793, 0.596571999682931), (1.0, 1.7647058823529411, 0.3887539787766229), (4.0, 0.0, 0.15090299391147363), (8.0, 0.0, 0.3928371006591931), (16.0, -0.6666666666666666, 0.3322203641716901)]",1.0,4,2.0,0.23764312276061625,-11.717171717171716,0.15295112043638873
88,AC,AC_01082016,1,20.24137931034483,20.24137931034483,0.9852216748768473,26.599715105570635,8.505306273007365,30.056497442044662,20.63815674492017,31.795444990033577,17.990081501445893,30.264639951704023,22.271171424664523,31.17587504022246,16.107051018563507,27.06896551724138,16.036601374945672,-2.233169129720854,-2.3383084577114426,-4.7317073170731705,-0.04926108374384236,2.2337123844196713,-0.2621722059760055,0.0001721462181436882,-0.21259343096078256,-0.31752059877828576,0.10492716781750319,"[(32.0, -16.11111111111111, 0.8752326753153378), (0.5, 4.102564102564102, 0.9888196455237721), (2.0, -3.4482758620689657, 1.3976192687283029), (1.0, -7.647058823529411, 1.0525090451140144), (4.0, -4.776119402985074, 0.45626925802353696), (8.0, -10.0, 0.8871510790372951), (16.0, -8.666666666666666, 1.1092206139314083)]",0.5,4,1.0,0.5702470070373175,38.222222222222214,0.011559756875447646
89,AC,AC_01122016,0,3.2094594594594597,3.2094594594594597,0.5337837837837838,3.621032419175873,2.769253900167655,4.464177265394661,5.044904421881439,4.083139382605369,3.624744542415232,4.622136371024462,5.62205326616694,4.107990034756192,3.732289095803674,3.2094594594594597,6.433394062800396,1.463963963963964,0.0,0.13793103448275862,-0.15202702702702703,1.4718365074734894,0.10050730667565752,0.22097033272806976,0.107299384409869,0.09294386770084842,0.014355516709020577,"[(0.5, 0.0, 0.0), (1.0, 2.222222222222222, 0.7768954430890012), (2.0, -1.25, 0.39218438743784795), (32.0, -3.4482758620689657, 0.49101150262196613), (4.0, 0.9271523178807947, 0.23069847336634522), (8.0, 5.263157894736842, 0.8045649028502186), (16.0, 0.7407407407407407, 0.28511124404425964)]",8.0,4,2.0,0.26088020756841407,-13.108866442199771,0.13139272251113412
90,AC,AC_01122016,1,1.0506756756756757,1.0506756756756757,0.12837837837837837,1.2351387077593976,1.4220436906683211,1.5240835319473467,2.094727732497224,1.3287853107167962,1.6784003952497224,1.6062989763203575,2.657963481711697,1.527341892503247,2.028062734912334,1.1824324324324325,3.8930588997324427,-0.2927927927927928,-0.3973509933774834,-0.06896551724137931,0.5236486486486486,0.5999462698800277,-0.14375707757425374,0.0410872245278213,-0.1713957374060371,-0.11286652959662008,-0.05852920780941703,"[(0.5, -1.0, 0.21794494717703364), (1.0, -1.111111111111111, 0.42632831234153107), (2.0, 0.0, 0.1976423537605237), (32.0, -2.758620689655172, 0.3599536190914084), (4.0, -0.9271523178807947, 0.1209420817573898), (8.0, -1.0526315789473684, 0.22909776319263525), (16.0, 1.4814814814814814, 0.2254002294259943)]",16.0,4,1.0,0.15733493879189245,-5.028058361391693,0.2564300494881303
91,AC,AC_12182015,0,1.9733009708737863,1.9733009708737863,0.3106796116504854,2.716124153337908,3.0091049482330376,3.2757479663475944,4.675935877939397,2.8450149642316616,3.492094178630566,3.544824729374286,5.830563678870137,2.7109707011136512,3.0443728915309167,3.6893203883495147,7.000733839777767,-1.1812297734627832,-1.7412935323383085,-0.995260663507109,-0.3519417475728155,1.23254483545206,-0.19270358192598813,0.0006853405654113771,-0.1860174465512736,-0.19910848963198866,0.013091043080715042,"[(0.5, 2.6666666666666665, 0.45866149867889544), (1.0, 0.0, 0.21081851067789195), (2.0, -2.0, 0.3231786571610886), (32.0, 3.4146341463414633, 0.4336373838949418), (4.0, -1.691542288557214, 0.16880588811719882), (8.0, -5.88235294117647, 0.5104246066321322), (16.0, -4.3478260869565215, 0.3343318105018395)]",32.0,4,1.0,0.12769630976772026,-6.798418972332014,0.31070929710503065
92,AC,AC_12182015,1,5.553398058252427,5.553398058252427,0.8252427184466019,7.768012819153051,4.0012559244177,7.72631803121209,6.595043215902548,9.713433464150546,8.025669897596837,8.441733818789965,8.104713209981323,8.981687355003723,5.947967151120234,8.446601941747574,9.111742296427236,-0.2588996763754045,-0.845771144278607,0.23696682464454974,-0.23058252427184464,0.3466948844832658,-0.069945653383739,0.24323282246073108,-0.09878579167351503,-0.04295147672996623,-0.055834314943548805,"[(0.5, -2.6666666666666665, 0.9365025558091327), (1.0, 1.3333333333333333, 0.7282653159188418), (2.0, 0.0, 0.699205898780101), (32.0, 0.0, 0.6544589202438408), (4.0, -1.2935323383084576, 0.26152237497981606), (8.0, -6.470588235294118, 0.6368333269721027), (16.0, 5.652173913043478, 0.7099487917615226)]",16.0,4,2.0,0.261819294877146,10.223978919631087,0.13058301133101194
93,AC,AC_12182015,2,0.9029126213592233,0.9029126213592233,0.10194174757281553,1.2731590687654861,2.0735771461665617,1.561456822371882,2.2315216455851563,1.3119442105099353,3.087073895601199,1.5863946000390114,2.498976311754991,1.2069749666102823,2.0988760391983368,0.9951456310679612,3.374659382762263,0.3559870550161812,0.9452736318407959,0.2843601895734597,0.3276699029126213,0.48383297594713437,0.25850856879702383,0.0022636236170249205,0.3900162510156956,0.11726625745504858,0.272749993560647,"[(0.5, -1.3333333333333333, 0.293131243517176), (1.0, -1.3333333333333333, 0.20367003088692626), (2.0, 0.0, 0.21081851067789195), (32.0, -0.4878048780487805, 0.1881564576125821), (4.0, 1.7910447761194028, 0.13047363933329026), (8.0, 2.352941176470588, 0.24710825012258997), (16.0, 1.3043478260869563, 0.253600683131481)]",8.0,4,3.0,0.06687565308254965,2.5296442687747036,0.4706427179543997
94,AC,AC_12212015,0,6.899244332493703,6.899244332493703,0.8312342569269522,8.909918362871672,6.641483710150629,9.809780536935016,8.691335858181956,16.18821866903783,86.85207004452509,9.843814491973587,9.719287284632475,15.734486199996825,84.86934793776221,8.614609571788414,10.080036791804885,-1.6792611251049538,-2.248803827751196,-1.8617021276595742,0.49118387909319894,1.749622682000264,-0.37157027283337346,1.5278741524816213e-09,-0.36410855864271263,-0.38166229837877746,0.017553739736064833,"[(0.5, 0.625, 0.7257640101558495), (1.0, 3.333333333333333, 0.5993823981893858), (32.0, 0.0, 0.7905694150420947), (2.0, -1.3333333333333333, 0.7282653159188418), (4.0, -5.071770334928229, 0.24913467937083592), (8.0, -11.72413793103448, 0.7072662239221426), (16.0, -9.302325581395348, 0.5373821771435763)]",1.0,4,3.0,0.5038645564961353,-12.515856236786469,0.02146672856038872
